# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
HAT-P-27-WASP-40 b,0.66,0.033,0.033,1.055,0.036,0.036,3.0395721,7.8e-06,7.8e-06,0.0403,0.0005,0.0005,0.078,0.047,0.047,0.000198,84.98,0.2,0.2,2455368.39398,0.00017,0.00017,,,,,,,,,,,,,,1,2011,2013-02-28,63.0,64.0,64.0,,,,detected by transit,,HAT-P-27-WASP-40,222.7666667,5.9472222,12.21,,,,,204.0,0.29,0.945,0.898,G8,4.4,5300.0
HAT-P-30-WASP-51 b,0.711,0.028,0.028,1.34,0.065,0.065,2.810595,5e-06,5e-06,0.0419,0.0005,0.0005,0.035,0.024,0.024,0.000217,83.6,0.4,0.4,2455456.46561,0.00037,0.00037,,,,,,,,,,,,,,1,2011,2013-05-31,252.0,84.0,84.0,,,,detected by transit,,HAT-P-30-WASP-51,123.95,5.8366667,10.42,,,,,193.0,-0.08,1.18,1.33,F,1.0,6250.0
WASP-1 b,0.86,0.07,0.07,1.484,0.09,0.09,2.5199464,8e-07,8e-07,0.0382,0.0013,0.0013,0.0,,,,88.65,0.55,0.55,2454461.863,0.0002,0.0002,,,,,,,,,,,,,,2,2006,2013-05-31,,,,,,,detected by transit,,WASP-1,5.1666667,31.99,11.79,,,,,,,1.24,1.382,F7V,,6200.0
WASP-10 b,3.06,0.21,0.23,1.08,0.02,0.02,3.0927616,1.82e-05,1.82e-05,0.0371,0.0013,0.0013,0.057,0.005,0.005,0.000412,86.8,0.5,0.5,2454357.85803,0.0003,0.0003,,,,,,,,,,,,,,3,2008,2008-12-02,2.737,0.166,0.166,,,,detected by transit,,WASP-10,348.9916667,31.4627778,12.7,,,,,90.0,0.03,0.71,0.783,K5,0.8,4675.0
WASP-100 b,2.03,0.12,0.12,1.69,0.29,0.29,2.849375,8e-06,8e-06,0.0457,0.001,0.001,0.0,,,,82.6,2.6,1.7,2456272.3395,0.0009,0.0009,,,,,,,,,,2190.0,,,,1,2013,2013-10-22,,,,,,,detected by transit,,WASP-100,68.9583,-64.0269,10.8,,,,,,-0.03,1.57,2.0,F2,,6900.0
WASP-101 b,0.5,0.004,0.004,1.41,0.05,0.05,3.585722,4e-06,4e-06,0.0506,0.0009,0.0009,0.0,,,,85.0,0.2,0.2,2456164.6934,0.0002,0.0002,,,,,,,,,,1560.0,,,,1,2013,2013-10-22,,,,,,,detected by transit,,WASP-101,98.35,-23.4861,10.3,,,,,,0.2,1.34,1.29,F6,0.9,6400.0
WASP-103 b,1.49,0.088,0.088,1.528,0.073,0.047,0.925542,1.9e-05,1.9e-05,0.01985,0.00021,0.00021,,,,,86.3,2.7,2.7,2456459.59957,0.00075,0.00075,,,,,,,,,,2508.0,,,,1,,2014-01-14,,,,,,,detected by transit,,WASP-103,249.316666672,7.183333337,12.0,,,,,470.0,0.06,1.22,1.436,F8V,4.0,6110.0
WASP-11-HAT-P-10 b,0.46,0.028,0.028,1.045,0.033,0.033,3.722469,6.7e-06,6.7e-06,0.0439,0.0009,0.0009,0.0,,,0.000351,88.5,0.6,0.6,2454729.90631,0.0003,0.0003,,,,,,,,,,,,,,2,2008,2013-02-28,,,,,,,detected by transit,,WASP-11-HAT-P-10,47.3708333,30.6736111,11.89,,,,,125.0,0.13,0.82,0.81,K3V,11.2,4980.0
WASP-12 b,1.404,0.099,0.099,1.736,0.092,0.092,1.0914222,1.1e-06,1.1e-06,0.02293,0.00078,0.00078,0.0,0.01,0.01,5.4e-05,86.0,3.0,3.0,2454508.97605,0.00028,0.00028,,,,,,,,,,,,,,3,2008,2013-08-05,,,,,,,detected by transit,"CO, CH4, CH4, CO, H2O, TiO, VO, HCN, H2",WASP-12,97.6375,29.6722222,11.69,11.03,10.48,10.23,10.19,427.0,0.3,1.35,1.599,G0,1.7,6300.0
WASP-13 b,0.485,0.058,0.052,1.365,0.062,0.062,4.353011,1.3e-05,1.3e-05,0.05379,0.00059,0.00059,0.0,,,0.000345,85.64,0.24,0.24,2455575.5136,0.0016,0.0016,,,,,,,,,,,,,,3,2008,2012-09-20,,,,,,,detected by transit,,WASP-13,140.1041667,33.8825,10.42,,,,,156.0,0.0,,,G1V,,5826.0
